ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
543,Meu Grito de Amor,musica543,musica543_trecho3,Mergulhei nas incertezas do amor Fui um louco sonhador I was just dreaming It was only me in love,Zé Felipe,2025,19,https://www.letras.mus.br/ze-felipe/meu-grito-de-amor/,-1
543,Meu Grito de Amor,musica543,musica543_trecho4,Dói demais o silêncio E o vazio frio dos lençóis Dói demais quando a noite Invade o nosso quarto e traz no vento O meu grito de amor,Zé Felipe,2025,28,https://www.letras.mus.br/ze-felipe/meu-grito-de-amor/,-1
1532,Meu Grito De Amor (part. Eduardo Costa),musica1532,musica1532_trecho3,Mergulhei nas incertezas do amor Fui um louco sonhador,Paula Fernandes,2014,9,https://www.letras.mus.br/paula-fernandes/1852896/,-1
1532,Meu Grito De Amor (part. Eduardo Costa),musica1532,musica1532_trecho5,Dói demais o silêncio E o vazio frio dos lençóis Dói demais quando a noite Invade o nosso quarto E traz no vento O meu grito de amor,Paula Fernandes,2014,28,https://www.letras.mus.br/paula-fernandes/1852896/,-1
1167,"Meu Menino, Minha Menina (part. Belinda)",musica1167,musica1167_trecho1,O que é que você viu em mim?,Luan Santana,2011,8,https://www.letras.mus.br/luan-santana/1791040/,-1
1167,"Meu Menino, Minha Menina (part. Belinda)",musica1167,musica1167_trecho7,"Seu jeito, seu sorriso Sua forma de menina de me agradar Seu charme, seu pedido Sua voz tão constrangida ao se desculpar Sua timidez me encanta, e eu vou te confessar Que a ânsia de esperar você ligar me assusta!",Luan Santana,2011,40,https://www.letras.mus.br/luan-santana/1791040/,-1
1077,Meu Número (part. Jorge & Mateus),musica1077,musica1077_trecho1,Tô sentindo o seu corpo se distanciando Seu beijo esfriando O amor diluindo em lágrimas E ninguém tem coragem de nada,Hugo & Guilherme,2022,21,https://www.letras.mus.br/hugo-guilherme/meu-numero-part-jorge-e-mateus/,-1
1077,Meu Número (part. Jorge & Mateus),musica1077,musica1077_trecho2,Quando passar do portão Não se esqueça do seu coração Que ele vai te avisar a hora certa de você voltar pra mim,Hugo & Guilherme,2022,23,https://www.letras.mus.br/hugo-guilherme/meu-numero-part-jorge-e-mateus/,-1
1077,Meu Número (part. Jorge & Mateus),musica1077,musica1077_trecho3,Hoje eu tô te deixando voar Mas por dentro eu quero te prender Se você resolver não voltar Eu só quero o melhor pra você,Hugo & Guilherme,2022,25,https://www.letras.mus.br/hugo-guilherme/meu-numero-part-jorge-e-mateus/,-1
1077,Meu Número (part. Jorge & Mateus),musica1077,musica1077_trecho4,Hoje eu tô te deixando voar Na certeza que tem outro amor Se acaso ele te machucar O meu número nunca mudou,Hugo & Guilherme,2022,22,https://www.letras.mus.br/hugo-guilherme/meu-numero-part-jorge-e-mateus/,-1
702,Meu Violão e o Nosso Cachorro,musica702,musica702_trecho1,"Pode ficar aqui, sou eu quem vou partir O que a gente construiu não é preciso dividir Fizemos tantos planos, compramos tantas coisas Mas o amor é longe disso Precisamos de um tempo em relação a nós dois Depois decidimos o final, espero que seja um final feliz",Simone & Simaria,2016,48,https://www.letras.mus.br/simone-simaria-as-coleguinhas/meu-violao-e-o-nosso-cachorro/,-1
702,Meu Violão e o Nosso Cachorro,musica702,musica702_trecho3,"Se amanhã a gente se acertar, tudo bem Mas se a gente não voltar, posso beber, posso chorar E até ficar no soro Mas dessa casa eu só vou levar Meu violão e o nosso cachorro",Simone & Simaria,2016,36,https://www.letras.mus.br/simone-simaria-as-coleguinhas/meu-violao-e-o-nosso-cachorro/,-1
702,Meu Violão e o Nosso Cachorro,musica702,musica702_trecho7,Meu violão e o nosso cachorro,Simone & Simaria,2016,6,https://www.letras.mus.br/simone-simaria-as-coleguinhas/meu-violao-e-o-nosso-cachorro/,-1
458,Mil Anos,musica458,musica458_trecho2,"Você briga, me ignora Pisa na bola Sente saudade e chora Diz que é de raiva Pra não assumir que me adora Eu sei que um grande amor Não é fácil de se encontrar Mais difícil ainda é deixar de gostar",Jorge & Mateus,2010,41,https://www.letras.mus.br/jorge-mateus/1713699/,-1
1221,Minha Boca Você Não Beija Mais,musica1221,musica1221_trecho3,Cheguei no meu limite Agora foi demais Você extrapolou Você passou da conta Então vou ser bem prático pra te falar Com quem mais te amou Você não mais apronta,Luan Santana,2009,30,https://www.letras.mus.br/luan-santana/1427742/,-1
1221,Minha Boca Você Não Beija Mais,musica1221,musica1221_trecho6,Nunca mais Oh não Nunca mais,Luan Santana,2009,6,https://www.letras.mus.br/luan-santana/1427742/,-1
84,Minha Herança,musica84,musica84_trecho5,Tempo que não volta O vô e a vó conversando e nós correndo em volta Ficar até tarde acordado escutando história Daria todo o meu dinheiro pra ter isso agora Tempo que não volta O vô e a vó conversando e nós correndo em volta Ficar até tarde acordado escutando história Daria todo o meu dinheiro pra ter isso agora,Ana Castela,2024,60,https://www.letras.mus.br/ana-castela/minha-heranca/,-1
84,Minha Herança,musica84,musica84_trecho6,Coisas que vivem pra sempre na minha lembrança Essa é minha herança,Ana Castela,2024,12,https://www.letras.mus.br/ana-castela/minha-heranca/,-1
918,Mistérios,musica918,musica918_trecho3,"Seu olhar foi de encontro ao meu O meu destino está junto ao seu Meu vício, mania Eu desvendei os mistérios do seu coração",Jorge & Mateus,2009,24,https://www.letras.mus.br/jorge-mateus/1396849/,-1
918,Mistérios,musica918,musica918_trecho8,"Seu olhar foi de encontro ao meu O meu destino está junto ao seu Meu vício, mania Eu desvendei os mistérios do seu coração Eu desvendei os mistérios do seu coração Eu desvendei os mistérios do seu coração",Jorge & Mateus,2009,38,https://www.letras.mus.br/jorge-mateus/1396849/,-1
