ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
1478,Quer Casar Comigo?,musica1478,musica1478_trecho3,"Chegou chutando o balde Fazendo, fazendo Baderna no meu coração Mostrou que veio pra ficar E agora tô carente Tô xonado, tem jeito não",Bruno & Marrone,2005,24,https://www.letras.mus.br/bruno-e-marrone/88353/,-1
126,Querendo Te Amar,musica126,musica126_trecho9,"Eu sei de tudo que se passa nessa sua vida Eu sei que, assim como eu, você não está feliz Eu sei que às vezes pensa em mim quando está sozinha Isso prova que esse amor tá criando raiz Em todo caso, perde o medo e curte essa paixão E entra pela porta da frente do meu coração E entra pela porta da frente do meu coração",Jorge & Mateus,2007,67,https://www.letras.mus.br/jorge-mateus/437717/,-1
260,Quero Camboriú,musica260,musica260_trecho2,"Eu conheci um boiadeiro Lá na arena de Barretos Ele disse que, por mim Viajaria o mundo inteiro",Ana Castela,2025,18,https://www.letras.mus.br/ana-castela/quero-camboriu/,-1
260,Quero Camboriú,musica260,musica260_trecho4,"Fui pra vaquejada, ele foi atrás Fui pra revoada, ele foi atrás Todo lugar que eu vou O boiadeiro vai",Ana Castela,2025,20,https://www.letras.mus.br/ana-castela/quero-camboriu/,-1
309,Quero Ser o Seu Amor,musica309,musica309_trecho1,Faz tempo que eu olho pra você Mas você sempre fica me esnobando Pára de pirraça e vem ficar comigo,Simone & Simaria,2016,20,https://www.letras.mus.br/simone-simaria-as-coleguinhas/ce-sabe-que-eu-sou-seu-amor/,-1
309,Quero Ser o Seu Amor,musica309,musica309_trecho5,"Cê sabe que eu sou seu amor Eu quero te agarrar meu bem Ôh chega mais pra perto, vem vem Vem papai, vem",Simone & Simaria,2016,23,https://www.letras.mus.br/simone-simaria-as-coleguinhas/ce-sabe-que-eu-sou-seu-amor/,-1
309,Quero Ser o Seu Amor,musica309,musica309_trecho7,"Eu quero ser feliz e você também Se enrosca no meu corpo e vem fazer amor, neném",Simone & Simaria,2016,17,https://www.letras.mus.br/simone-simaria-as-coleguinhas/ce-sabe-que-eu-sou-seu-amor/,-1
1113,Quero Sim,musica1113,musica1113_trecho1,"Às vezes, sou fada Às vezes, faísca Tô ligada na tomada Numa noite mal dormida",Paula Fernandes,2009,15,https://www.letras.mus.br/paula-fernandes/1337898/,-1
1113,Quero Sim,musica1113,musica1113_trecho3,Eu não sou palavra Eu não sou poema Sou humana pequena A se arrepender,Paula Fernandes,2009,14,https://www.letras.mus.br/paula-fernandes/1337898/,-1
1113,Quero Sim,musica1113,musica1113_trecho6,"Se o teu amor for frágil e não resistir E essa mágoa, então, ficar eternamente aqui Tô de volta a imensidão de um mar que é feito de silêncio",Paula Fernandes,2009,29,https://www.letras.mus.br/paula-fernandes/1337898/,-1
1113,Quero Sim,musica1113,musica1113_trecho12,Se o teu amor for frágil e não resistir E essa mágoa então ficar eternamente aqui Tô de volta a imensidão de um mar que é feito de silêncio,Paula Fernandes,2009,29,https://www.letras.mus.br/paula-fernandes/1337898/,-1
572,Quero Você do Jeito Que Quiser (part. Maiara & Maraisa),musica572,musica572_trecho7,"Mesmo que me perguntassem, eu não afirmaria Eu negaria",Marília Mendonça,2020,9,https://www.letras.mus.br/marilia-mendonca/quero-voce-do-jeito-que-quiser-part-maiara-e-maraisa/,-1
1597,"Quero, Quero",musica1597,musica1597_trecho1,"Sem essa de cabô, cabô Se agora que começou Vem que eu tô que tô Tô querendo é seu amor!",Simone & Simaria,2012,20,https://www.letras.mus.br/simone-simaria-as-coleguinhas/quero-quero/,-1
1597,"Quero, Quero",musica1597,musica1597_trecho2,"Volta, volta vai Que delícia, vai papai Vem que eu quero mais, é mais, é mais!",Simone & Simaria,2012,16,https://www.letras.mus.br/simone-simaria-as-coleguinhas/quero-quero/,-1
1597,"Quero, Quero",musica1597,musica1597_trecho3,"Seu amor, meu amor Não quero dar um tempo não Eu quero amor, amor Volta pro meu coração!",Simone & Simaria,2012,18,https://www.letras.mus.br/simone-simaria-as-coleguinhas/quero-quero/,-1
1597,"Quero, Quero",musica1597,musica1597_trecho4,"Eu quero amor, amor Não quero dar um tempo não Seu amor, meu amor Volta pro meu coração!",Simone & Simaria,2012,18,https://www.letras.mus.br/simone-simaria-as-coleguinhas/quero-quero/,-1
1126,Química,musica1126,musica1126_trecho1,Desde o primeiro dia que a gente se viu Impressionante a química que nos uniu E o tempo foi tornando tão intenso o nosso amor,João Bosco & Vinícius,2012,25,https://www.letras.mus.br/joao-bosco-viniciusacustico/quimica/,-1
718,Química do Amor (part. Ivete Sangalo),musica718,musica718_trecho2,"Que tal a gente agora misturar a nossa cor Pra ver a combustão, a química do nosso amor Eu e você, quer pagar pra ver?",Luan Santana,2011,25,https://www.letras.mus.br/luan-santana/1791039/,-1
718,Química do Amor (part. Ivete Sangalo),musica718,musica718_trecho3,"Me diga, que você vai entrar na minha vida Que eu sou a sua musa preferida Diga que eu sou seu bem me quer Seu anjo, sua fada, o que você quiser",Luan Santana,2011,32,https://www.letras.mus.br/luan-santana/1791039/,-1
718,Química do Amor (part. Ivete Sangalo),musica718,musica718_trecho5,"Vambora, não demora Eu quero ser o seu amor, ôô, ôô Tô louco pra me entregar, aa, aa E aí paixão, o meu coração, Tá xonado de tanto desejo Eu quero ser o seu amor, ôô, ôô Tô louca pra me entregar, aa, aa Tudo o que eu quero agora é tá contigo e te amar.",Luan Santana,2011,56,https://www.letras.mus.br/luan-santana/1791039/,-1
718,Química do Amor (part. Ivete Sangalo),musica718,musica718_trecho8,"Vambora, não demora Eu quero ser o seu amor, ôô, ôô Tô louco pra me entregar, aa, aa E aí paixão o meu coração, Tá xonado de tanto desejo Eu quero ser o seu amor, ôô, ôô Tô louca pra me entregar, aa, aa Tudo o que eu quero agora é tá contigo e te pra sempre te amar.",Luan Santana,2011,59,https://www.letras.mus.br/luan-santana/1791039/,-1
729,Rancorosa,musica729,musica729_trecho3,"Se eu mando o que eu penso, a gente não volta Aí a foto dela some na hora E se eu conheço bem aquela rancorosa Vai ter copo, vai ter foto com legenda: Vida nova",Henrique & Juliano,2023,35,https://www.letras.mus.br/henrique-e-juliano/rancorosa/,-1
